rproj_fit_mult,vproj_fit_mult,vproj_fit_offset,gd_rproj_fit_mult,gd_vproj_fit_mult,gd_vproj_fit_offset,mu_HME,mu_HME_dyn,mu_HME_HAMngt7,P_G,C_G,P_H,C_H,mu_HME_dw,P_G_dw,C_G_dw,P_H_dw,C_H_dw,P_G_dwgt1,C_G_dwgt1,P_H_dwgt1,C_H_dwgt1,mu_HME_dwgt1,n_dwgroups,n_Ngt1dwgroups
3,4,200,7,4,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,4,200,0.16299999999999848,0.3420153021630324,0.22199999999999953,0.983713082285806,0.9354997279696138,0.9244660060974896,0.9788742777778761,0.16499999999999915,0.9924237290870077,0.9487800472608346,0.9788867082234923,0.9732699614956554,0.9039083282177204,0.9664927358297524,0.8283655229463386,0.9711627223900637,0.18759006697196637,6887,543
3,4,200,7,4,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,5,0,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9837149032739225,0.9353951327406368,0.9244660060974896,0.9788189741610195,0.16499999999999954,0.9924248290101948,0.9486423033515343,0.9788867082234923,0.9731967336104768,0.9037310373103731,0.9664309143091431,0.8281058641308262,0.971119095646327,0.1880000000000006,6888,542
3,4,200,7,5,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,5,200,0.16299999999999848,0.3420153021630324,0.22199999999999953,0.983713082285806,0.9354997279696138,0.9244660060974896,0.9788742777778761,0.16499999999999915,0.9924237290870077,0.9487800472608346,0.9788867082234923,0.9732699614956554,0.9039083282177204,0.9664927358297524,0.8283655229463386,0.9711627223900637,0.18759006697196637,6887,543
3,4,200,7,5,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,6,0,0.16299999999999848,0.3420153021630324,0.22199999999999953,0.983713082285806,0.9354997279696138,0.9244660060974896,0.9788742777778761,0.16499999999999915,0.9924237290870077,0.9487800472608346,0.9788867082234923,0.9732699614956554,0.9039083282177204,0.9664927358297524,0.8283655229463386,0.9711627223900637,0.18759006697196637,6887,543
3,4,200,7,6,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,6,200,0.16299999999999848,0.3420153021630324,0.22199999999999953,0.983713082285806,0.9354997279696138,0.9244660060974896,0.9788742777778761,0.16499999999999915,0.9924237290870077,0.9487800472608346,0.9788867082234923,0.9732699614956554,0.9039083282177204,0.9664927358297524,0.8283655229463386,0.9711627223900637,0.18759006697196637,6887,543
3,4,200,7,6,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,8,1,0,0.16300000000000145,0.3420153021630324,0.22199999999999953,0.9850395165085652,0.9139441612816547,0.9267150198496555,0.9675739054001893,0.16500000000000092,0.993843190467278,0.9205616955107668,0.9818646422207584,0.9583070636241457,0.869460978835979,0.9459325396825398,0.7853782642089094,0.9460925499231951,0.197308080366361,7124,336
3,4,200,8,1,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9816250489241334,0.9364088594793539,0.9205394493006751,0.9793351412516808,0.16600000000000037,0.9897659536455035,0.9500517089666605,0.9735453429760383,0.973884018708303,0.8803228869895535,0.9697530864197531,0.7971324002574002,0.9742023273273273,0.1960000000000015,6841,585
3,4,200,8,1,200,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9816015845848187,0.9363945613027332,0.9203182348332489,0.9793351412516808,0.16600000000000037,0.9897385907621322,0.9500371020676889,0.9733946168350918,0.9738801938721443,0.8798325722983257,0.9697012937595129,0.7957810489060488,0.9742023273273273,0.19600000000000048,6839,584
3,4,200,8,1,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9816250489241334,0.9364088594793539,0.9205394493006751,0.9793351412516808,0.16600000000000037,0.9897659536455035,0.9500517089666605,0.9735453429760383,0.973884018708303,0.8803228869895535,0.9697530864197531,0.7971324002574002,0.9742023273273273,0.1960000000000015,6841,585
3,4,200,8,2,0,0.16299999999999848,0.3420153021630324,0.22199999999999953,0.9826001960543828,0.9291419848524122,0.922364468656941,0.9755376262275314,0.16499999999999915,0.9909278234794182,0.9404553113222739,0.9761040485867027,0.9688518790898751,0.876500764025322,0.9597795241213708,0.7950200559358209,0.9634531169500257,0.19859006697196563,6929,509
3,4,200,8,2,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9816250489241334,0.9364088594793539,0.9205394493006751,0.9793351412516808,0.16600000000000037,0.9897659536455035,0.9500517089666605,0.9735453429760383,0.973884018708303,0.8803228869895535,0.9697530864197531,0.7971324002574002,0.9742023273273273,0.1960000000000015,6841,585
3,4,200,8,2,200,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9816015845848187,0.9363945613027332,0.9203182348332489,0.9793351412516808,0.16600000000000037,0.9897385907621322,0.9500371020676889,0.9733946168350918,0.9738801938721443,0.8798325722983257,0.9697012937595129,0.7957810489060488,0.9742023273273273,0.19600000000000048,6839,584
3,4,200,8,2,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9816250489241334,0.9364088594793539,0.9205394493006751,0.9793351412516808,0.16600000000000037,0.9897659536455035,0.9500517089666605,0.9735453429760383,0.973884018708303,0.8803228869895535,0.9697530864197531,0.7971324002574002,0.9742023273273273,0.1960000000000015,6841,585
3,4,200,8,3,0,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9819935098500294,0.9343453959636643,0.9210924854692405,0.9783028070703588,0.16500000000000092,0.990215878564262,0.9473206730324678,0.9744198072275931,0.9725132733488089,0.880890464933018,0.9644897557131599,0.7978653242503172,0.9699528595917095,0.19642340030529967,6866,564
3,4,200,8,3,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9816250489241334,0.9364088594793539,0.9205394493006751,0.9793351412516808,0.16600000000000037,0.9897659536455035,0.9500517089666605,0.9735453429760383,0.973884018708303,0.8803228869895535,0.9697530864197531,0.7971324002574002,0.9742023273273273,0.1960000000000015,6841,585
3,4,200,8,3,200,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9816015845848187,0.9363945613027332,0.9203182348332489,0.9793351412516808,0.16600000000000037,0.9897385907621322,0.9500371020676889,0.9733946168350918,0.9738801938721443,0.8798325722983257,0.9697012937595129,0.7957810489060488,0.9742023273273273,0.19600000000000048,6839,584
3,4,200,8,3,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9816250489241334,0.9364088594793539,0.9205394493006751,0.9793351412516808,0.16600000000000037,0.9897659536455035,0.9500517089666605,0.9735453429760383,0.973884018708303,0.8803228869895535,0.9697530864197531,0.7971324002574002,0.9742023273273273,0.1960000000000015,6841,585
3,4,200,8,4,0,0.16300000000000026,0.341616078045727,0.22199999999999953,0.9817304386029386,0.9358901070187366,0.9206500565343881,0.979058623167398,0.16600000000000037,0.9898966295052173,0.9493652316402693,0.9738339841461637,0.9735140544462509,0.880315263360246,0.9685217224144561,0.7973706924630317,0.9732007143942848,0.19699999999999918,6847,578
3,4,200,8,4,100,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9816015845848187,0.9363945613027332,0.9203182348332489,0.9793351412516808,0.16600000000000037,0.9897385907621322,0.9500371020676889,0.9733946168350918,0.9738801938721443,0.8798325722983257,0.9697012937595129,0.7957810489060488,0.9742023273273273,0.19600000000000048,6839,584
